temperature,load,vibration,humidity,age,failure
44.3,57.5,3.48,86.8,14.5,0
55.4,55.9,1.4,92.8,2.9,0
57.1,66.6,0.85,81.3,13.6,0
55.6,34.4,0.4,50.9,14.5,0
84.1,90.0,2.22,25.6,7.3,0
106.0,67.9,0.4,78.7,17.9,1
80.7,79.4,2.92,61.3,5.1,0
95.5,46.1,0.4,87.3,22.7,1
71.6,68.8,1.64,70.8,26.8,0
88.0,60.0,2.27,44.0,6.9,0
48.4,44.7,0.44,54.7,27.3,0
68.6,66.9,0.87,82.5,20.1,0
56.2,80.8,2.12,43.5,28.2,0
87.9,44.0,2.14,40.3,18.3,0
83.3,34.9,3.04,79.5,23.1,0
93.8,51.9,0.54,27.4,26.5,1
74.3,27.6,0.4,71.7,10.4,0
62.7,51.7,1.55,29.7,3.8,0
81.6,75.5,3.51,94.8,8.0,0
58.9,88.7,1.5,46.9,20.0,0
79.2,91.2,2.59,27.7,25.3,1
104.4,83.3,1.59,65.7,29.7,1
61.7,96.4,2.21,52.2,7.6,0
70.9,57.5,1.35,39.8,29.9,0
79.3,81.5,1.62,28.7,14.2,0
89.1,74.3,0.4,60.0,21.0,0
86.2,91.5,0.58,35.9,19.4,0
74.7,53.3,1.98,83.6,5.9,0
96.0,80.8,3.28,81.2,28.9,1
123.1,37.7,1.53,44.4,27.7,1
99.6,96.6,0.79,28.6,1.9,1
65.3,82.5,3.86,71.1,7.1,0
79.3,44.3,0.61,81.2,29.9,0
69.3,88.2,0.4,48.5,2.9,0
64.3,45.6,0.4,39.8,7.7,0
63.8,24.6,2.88,47.8,9.7,0
59.2,54.3,0.53,49.9,20.5,0
74.0,81.4,0.4,30.8,15.1,0
78.3,22.7,2.93,34.6,17.8,0
68.3,30.6,1.2,30.8,14.3,0
84.5,49.9,0.4,54.3,14.3,0
97.5,86.8,3.57,47.0,16.6,1
63.0,80.6,0.4,59.3,22.5,0
41.6,52.7,3.54,53.5,10.5,0
96.1,56.0,0.4,38.7,28.6,1
45.4,54.3,1.86,41.1,17.0,0
94.6,36.3,0.4,65.0,6.4,0
55.1,71.7,0.61,89.9,29.1,0
48.1,66.9,0.84,80.8,11.7,0
52.8,70.8,0.4,72.1,7.4,0
75.4,55.2,0.52,43.4,1.0,0
74.8,91.8,0.4,57.1,11.2,0
67.4,42.0,4.56,27.8,9.5,0
54.8,60.5,1.13,78.2,5.5,0
25.0,51.0,1.64,95.0,23.3,0
61.4,48.8,1.29,68.1,27.4,0
77.1,120.0,0.4,27.4,17.0,1
64.1,27.8,0.4,75.7,4.2,0
40.7,78.5,0.4,51.6,24.2,0
56.9,69.2,0.49,72.4,17.4,0
64.8,76.7,0.4,26.3,25.0,0
70.5,46.5,0.4,92.3,20.4,0
65.9,66.7,1.7,72.5,10.2,0
77.6,40.8,5.95,25.7,21.8,0
83.8,94.4,7.5,46.8,10.9,1
53.6,44.0,3.24,90.5,6.4,0
79.5,57.8,0.4,31.5,5.7,0
73.4,60.8,1.25,42.3,14.7,0
89.7,79.1,2.52,65.5,27.2,0
80.6,76.0,0.95,53.2,26.7,0
88.4,37.7,0.57,38.3,6.4,0
34.1,67.0,0.61,59.5,9.7,0
43.4,105.7,0.4,33.2,16.9,0
80.9,80.7,4.83,82.5,17.4,1
81.2,68.4,0.92,47.9,1.3,0
77.1,65.9,1.12,33.3,29.4,0
95.3,75.2,0.4,71.1,16.4,0
78.5,60.5,0.77,28.5,2.5,0
60.6,103.5,0.46,68.0,8.3,0
86.5,71.5,1.17,49.6,11.5,0
57.5,84.8,0.42,30.9,14.5,0
66.8,49.8,2.97,82.7,12.2,0
34.3,53.5,4.85,33.3,28.1,0
103.2,61.4,0.94,36.3,20.0,1
69.1,71.8,2.26,29.8,13.1,0
51.7,66.0,0.4,49.8,17.0,0
88.9,54.6,3.03,67.8,11.8,0
62.8,38.5,2.03,71.1,3.0,0
46.4,53.3,0.4,82.9,2.2,0
62.7,65.4,0.47,60.2,22.2,0
72.1,77.2,1.79,53.2,22.8,0
74.3,97.8,3.13,35.3,25.2,0
89.6,65.1,1.02,51.5,27.5,0
59.5,113.7,0.66,65.1,10.4,0
66.3,71.2,2.35,49.2,20.5,0
59.5,63.6,1.94,73.2,4.5,0
44.7,74.6,0.66,63.3,13.1,0
61.9,94.9,4.11,30.9,12.4,1
86.9,98.4,0.4,41.4,1.7,1
58.9,48.9,0.4,65.2,12.4,0
69.3,52.9,0.4,80.1,9.9,0
58.9,69.6,1.41,44.3,21.6,0
76.5,56.1,0.85,63.5,2.5,0
63.2,49.0,0.46,82.2,28.0,0
66.0,42.3,0.74,85.9,3.4,0
54.0,61.8,1.05,48.4,12.4,0
45.7,64.4,1.53,81.4,23.0,0
64.9,44.3,0.95,72.6,2.6,0
66.3,52.8,2.15,38.5,19.6,0
62.1,55.1,0.47,53.8,8.0,0
85.6,73.3,2.01,82.7,12.5,0
55.5,92.8,0.57,30.7,29.8,0
84.1,102.3,3.62,45.3,14.6,1
99.8,21.6,1.5,84.5,6.8,1
71.3,71.4,3.12,63.9,23.6,0
55.0,74.9,0.4,33.8,29.4,0
84.2,71.9,0.71,72.4,18.2,0
84.5,24.2,0.58,78.8,7.6,0
49.1,78.7,1.77,77.3,7.3,0
73.9,55.7,4.76,48.2,14.5,0
48.7,104.1,1.43,37.2,9.6,0
69.4,97.7,1.25,29.9,3.6,0
38.0,85.3,4.49,53.5,5.2,0
86.7,103.8,4.15,80.5,20.6,1
74.6,65.3,0.63,25.1,8.9,0
47.5,88.7,0.4,76.0,10.4,0
80.0,104.7,0.76,34.4,3.7,0
73.2,95.8,2.72,33.3,1.0,0
51.5,91.8,0.53,25.9,16.7,0
117.8,64.2,0.86,67.5,12.3,1
62.1,57.3,0.68,31.8,6.1,0
72.9,85.5,7.5,65.8,24.6,1
46.3,38.3,0.93,72.1,20.8,0
60.8,41.8,1.56,73.5,21.3,0
77.6,70.0,1.25,76.1,19.0,0
36.7,85.0,0.4,33.8,28.9,0
67.0,40.4,1.59,62.9,3.5,0
109.0,76.5,3.09,27.9,15.4,1
48.3,80.4,0.66,68.0,27.0,0
91.2,44.4,1.84,57.6,6.5,0
77.1,101.5,0.8,88.8,1.6,0
65.2,78.9,0.72,72.3,12.5,0
62.9,97.0,0.96,90.4,8.3,0
50.4,60.1,0.4,48.8,15.7,0
76.2,40.4,7.5,56.6,11.3,1
63.7,57.3,0.88,71.2,13.8,0
58.5,65.9,3.02,90.8,19.8,0
58.2,22.5,0.74,33.9,12.4,0
77.1,46.0,0.42,29.1,17.0,0
72.6,21.4,2.92,62.8,3.3,0
83.5,65.1,0.91,45.7,5.2,0
47.3,45.4,5.05,77.9,18.0,0
108.9,53.1,3.18,79.8,9.0,1
53.4,59.8,1.31,65.6,28.1,0
